SQLDATE,Actor1CountryCode,Actor1KnownGroupCode,EVENTS
19970201,,,4
20110428,TUR,,2
19970616,,,11
20011128,,,9
19941111,,,7
20110413,BHR,,4
19990627,,,1
20000828,,,5
19870514,,,2
20100225,,,16
20090825,GRC,,3
20051229,,,11
20130119,ISR,,2
20091231,IRN,,7
20051106,,,3
20130127,IRQ,,1
20000823,BGD,,2
19920214,,,6
20090825,PSE,,4
19951218,EUR,,2
20131128,THA,,3
20120912,LBY,,4
20040806,,,6
19900224,,,8
19951117,,,3
19961010,,,7
19810801,,,2
19970413,,,7
20030516,,,3
20101021,,,4
19901015,KOR,,2
20130319,ISR,,8
20111128,SYR,,1
20130723,USA,,1
20090719,,,13
19970525,,,6
19920602,,,5
20120523,ARE,,1
20120502,USA,,4
20070827,MMR,,4
19870529,,,2
20110123,TUN,,3
20040415,,,8
20100908,AFG,,6
20110301,ERI,,1
20120827,USA,,4
20130604,MYS,,1
20130819,ARM,,1
19880301,,,4
20120326,PSE,,4
20111206,UKR,,2
20090308,,,15
19980805,,,9
20110524,LBN,,1
20080809,,,18
19980518,,,3
19841004,ISR,,2
19910211,,,2
20090209,ESP,,1
19970130,,,5
19840520,RUS,,4
19951016,,,4
20140115,PAK,,3
20110425,FRA,,2
20130220,MRT,,2
20120521,ISR,,1
20090501,USA,,3
20090818,IND,,1
20100310,IRN,,2
20101005,USA,,2
19941231,,,2
20130217,BGR,,4
19890526,,,2
19860723,,,6
20000508,BOL,,1
20110710,JOR,,1
19990422,GRC,,2
20080723,THA,,2
20080212,TCD,,1
20090729,KGZ,,3
20081106,CHN,,2
20021007,LKA,,1
19870610,KOR,,1
19800309,,,2
20140308,LBN,,1
20121012,FRA,,1
19971213,,,1
20120527,CAN,,1
20070719,,,18
19981207,,,15
20021231,,,7
20021231,TUR,,2
19950711,,,2
19901120,,,3
19961231,PSE,,4
20090408,THA,,3
20100112,AFG,,2
20130303,TUN,,1
19901124,,,7
20090603,IDN,,1
20041116,,,7
20140310,VEN,,2
19910409,,,5
19980926,,,4
20131203,KEN,,1
20120404,PSE,,3
20110320,AUS,,2
19880219,,,2
20110405,EGY,,2
20110408,KOR,,1
20120329,IRQ,,1
19830219,,,3
20111216,UKR,,1
20140317,RUS,,8
20140325,FRA,,1
20140214,GBR,,1
19851105,,,1
19860123,,,8
19890313,,,3
20040123,,,7
20110901,CHN,,1
19981004,,,6
19880311,HUN,,7
20090227,CHN,,1
20050714,,,6
20100829,ESP,,2
19940202,,,3
19990821,,,4
20070725,,,13
19881222,,,1
20131114,MRT,,2
20031020,,,8
20121030,RUS,,1
19970713,,,3
20110114,TUN,,8
19951021,,,4
20120119,USA,,6
20090615,NER,,1
20111029,YEM,,3
19900413,,,2
20030605,IRQ,,1
20131218,KHM,,1
20100124,PSE,,1
19921230,,,3
20011201,,,1
19930223,,,4
20120508,ISR,,7
19811203,,,2
20070413,RUS,,1
19970621,ISR,,1
20000329,TMP,,1
20090320,HRV,,1
20140319,SWE,,1
20140819,ISR,,1
19900205,,,3
20080426,CHN,,1
20140107,USA,,2
20121121,EGY,,2
19850725,,,5
20130314,PSE,,3
20121009,KWT,,2
19900217,,,4
20130930,PSE,,1
20110422,OMN,,1
19830416,,,5
19970702,PSE,,2
20120319,CUB,,2
20021112,,,4
20050531,,,15
20020808,,,1
20130302,ISR,,3
20120727,BLR,,1
20111129,LKA,,1
20071117,PSE,,1
20081010,ISL,,2
20011225,ITA,,1
20090408,EUR,,5
19991113,,,10
19840823,,,2
20130829,NZL,,1
20120124,SDN,,1
19900625,CZE,,1
19930519,,,1
19901130,,,3
